Date,QLD
2006-06-21,0.9835789799690248
2006-06-22,0.960436224937439
2006-06-23,0.957577347755432
2006-06-26,0.9611168503761292
2006-06-27,0.9251769781112672
2006-06-28,0.9364761114120485
2006-06-29,0.9931085109710692
2006-06-30,0.9835789799690248
2006-07-03,0.9950142502784728
2006-07-05,0.9558071494102478
2006-07-06,0.950225830078125
2006-07-07,0.9293971657752992
2006-07-10,0.914013683795929
2006-07-11,0.9289884567260742
2006-07-12,0.8922324776649475
2006-07-13,0.863779604434967
2006-07-14,0.8460821509361267
2006-07-17,0.8501657843589783
2006-07-18,0.8549308776855469
2006-07-19,0.8734452724456787
2006-07-20,0.8496214151382446
2006-07-21,0.8304263949394226
2006-07-24,0.8610568046569824
2006-07-25,0.869497537612915
2006-07-26,0.8712671399116516
2006-07-27,0.8624184727668762
2006-07-28,0.8968604803085327
2006-07-31,0.8950909376144409
2006-08-01,0.8644606471061707
2006-08-02,0.8803883194923401
2006-08-03,0.8950909376144409
2006-08-04,0.8869228363037109
2006-08-07,0.8761677145957947
2006-08-08,0.8651412725448608
2006-08-09,0.8647326827049255
2006-08-10,0.875759482383728
2006-08-11,0.8671834468841553
2006-08-14,0.8750787377357483
2006-08-15,0.9206844568252563
2006-08-16,0.9645196199417114
2006-08-17,0.9706461429595948
2006-08-18,0.9692845940589904
2006-08-21,0.9515876770019532
2006-08-22,0.954037606716156
2006-08-23,0.937973976135254
2006-08-24,0.9451889395713806
2006-08-25,0.948864758014679
2006-08-28,0.9624783396720886
2006-08-29,0.9686040282249452
2006-08-30,0.9771808981895448
2006-08-31,0.9760923385620116
2006-09-01,0.9849402904510498
2006-09-05,1.0026373863220217
2006-09-06,0.963567078113556
2006-09-07,0.9549904465675354
2006-09-08,0.9645196199417114
2006-09-11,0.9774526357650756
2006-09-12,1.015434980392456
2006-09-13,1.027141809463501
2006-09-14,1.0260531902313232
2006-09-15,1.0359913110733032
2006-09-18,1.0351742506027222
2006-09-19,1.0226495265960691
2006-09-20,1.0530080795288086
2006-09-21,1.039394497871399
2006-09-22,1.0214247703552246
2006-09-25,1.059134006500244
2006-09-26,1.067846655845642
2006-09-27,1.0624014139175415
2006-09-28,1.0686639547348022
2006-09-29,1.0604954957962036
2006-10-02,1.0346295833587646
2006-10-03,1.0419813394546509
2006-10-04,1.0897645950317385
2006-10-05,1.1040593385696411
2006-10-06,1.0979325771331787
2006-10-09,1.1033779382705688
2006-10-10,1.1095043420791626
2006-10-11,1.1054198741912842
2006-10-12,1.1421772241592407
2006-10-13,1.1508897542953491
2006-10-16,1.1530678272247314
2006-10-17,1.1306049823760986
2006-10-18,1.114950180053711
2006-10-19,1.124479055404663
2006-10-20,1.127201795578003
2006-10-23,1.1473497152328491
2006-10-24,1.1364591121673584
2006-10-25,1.1503453254699707
2006-10-26,1.1687229871749878
2006-10-27,1.1356427669525146
2006-10-30,1.148983597755432
2006-10-31,1.1557906866073608
2006-11-01,1.124479055404663
2006-11-02,1.125568151473999
2006-11-03,1.1190335750579834
2006-11-06,1.144218683242798
2006-11-07,1.167361855506897
2006-11-08,1.1831539869308472
2006-11-09,1.1666816473007202
2006-11-10,1.179613709449768
2006-11-13,1.1986725330352783
2006-11-14,1.229303956031799
2006-11-15,1.2370632886886597
2006-11-16,1.2497236728668213
2006-11-17,1.247001051902771
2006-11-20,1.2517660856246948
2006-11-21,1.25516939163208
2006-11-22,1.270961046218872
2006-11-24,1.2629283666610718
2006-11-27,1.2060242891311646
2006-11-28,1.2095636129379272
2006-11-29,1.229303956031799
2006-11-30,1.2254921197891235
2006-12-01,1.2091556787490845
2006-12-04,1.2395135164260864
2006-12-05,1.2455034255981443
2006-12-06,1.2363826036453247
2006-12-07,1.2061604261398315
2006-12-08,1.2184131145477295
2006-12-11,1.2279419898986816
2006-12-12,1.2118786573410034
2006-12-13,1.2150089740753174
2006-12-14,1.2408753633499146
2006-12-15,1.249043345451355
2006-12-18,1.2204543352127075
2006-12-19,1.2156901359558103
2006-12-20,1.2072986364364624
2006-12-21,1.1906307935714722
2006-12-22,1.168166160583496
2006-12-26,1.173962950706482
2006-12-27,1.1854133605957031
2006-12-28,1.1754131317138672
2006-12-29,1.1745432615280151
2007-01-03,1.178312063217163
2007-01-04,1.2206324338912964
2007-01-05,1.202950119972229
2007-01-08,1.2104865312576294
2007-01-09,1.2252700328826904
2007-01-10,1.2573004961013794
2007-01-11,1.2783156633377075
2007-01-12,1.2913599014282229
2007-01-16,1.2913599014282229
2007-01-17,1.2678804397583008
2007-01-18,1.2159944772720337
2007-01-19,1.219617486000061
2007-01-22,1.1957037448883057
2007-01-23,1.1900510787963867
2007-01-24,1.2261395454406738
2007-01-25,1.1928051710128784
2007-01-26,1.184543251991272
2007-01-29,1.1914997100830078
2007-01-30,1.1946892738342283
2007-01-31,1.209471344947815
2007-02-01,1.2109217643737793
2007-02-02,1.221356749534607
2007-02-05,1.2171541452407837
2007-02-06,1.211646318435669
2007-02-07,1.2404882907867432
2007-02-08,1.2409230470657349
2007-02-09,1.2022254467010498
2007-02-12,1.1926597356796265
2007-02-13,1.2057040929794312
2007-02-14,1.2417923212051392
2007-02-15,1.2549816370010376
2007-02-16,1.2507787942886353
2007-02-20,1.2652721405029297
2007-02-21,1.2735329866409302
2007-02-22,1.2870116233825684
2007-02-23,1.2754169702529907
2007-02-26,1.263822078704834
2007-02-27,1.142077922821045
2007-02-28,1.1665711402893066
2007-03-01,1.1543970108032229
2007-03-02,1.1139613389968872
2007-03-05,1.0985980033874512
2007-03-06,1.1387443542480469
2007-03-07,1.1283090114593506
2007-03-08,1.1493251323699951
2007-03-09,1.145267128944397
2007-03-12,1.1558467149734497
2007-03-13,1.1120760440826416
2007-03-14,1.1429479122161863
2007-03-15,1.139758825302124
2007-03-16,1.1355561017990112
2007-03-19,1.1584551334381104
2007-03-20,1.173962950706482
2007-03-21,1.2174434661865234
2007-03-22,1.2101972103118896
2007-03-23,1.199616312980652
2007-03-26,1.2088918685913086
2007-03-27,1.1960210800170898
2007-03-28,1.171233892440796
2007-03-29,1.169784426689148
2007-03-30,1.173843264579773
2007-04-02,1.1694941520690918
2007-04-03,1.2032684087753296
2007-04-04,1.210371971130371
2007-04-05,1.223417043685913
2007-04-09,1.2174742221832275
2007-04-10,1.2268962860107422
2007-04-11,1.2018189430236816
2007-04-12,1.222692370414734
2007-04-13,1.2270408868789673
2007-04-16,1.248494029045105
2007-04-17,1.2535676956176758
2007-04-18,1.248784422874451
2007-04-19,1.249799370765686
2007-04-20,1.2686429023742676
2007-04-23,1.2692230939865112
2007-04-24,1.2793699502944946
2007-04-25,1.3161883354187012
2007-04-26,1.3299590349197388
2007-04-27,1.3314083814620972
2007-04-30,1.2966190576553345
2007-05-01,1.3045918941497805
2007-05-02,1.3212618827819824
2007-05-03,1.3314083814620972
2007-05-04,1.3345977067947388
2007-05-07,1.331553936004639
2007-05-08,1.330828309059143
2007-05-09,1.340685248374939
2007-05-10,1.3070554733276367
2007-05-11,1.337786078453064
2007-05-14,1.3185075521469116
2007-05-15,1.2995178699493408
2007-05-16,1.3237258195877075
2007-05-17,1.3095208406448364
2007-05-18,1.3309738636016846
2007-05-21,1.3495280742645264
2007-05-22,1.351122260093689
2007-05-23,1.3392361402511597
2007-05-24,1.3014031648635864
2007-05-25,1.3153190612792969
2007-05-29,1.332133412361145
2007-05-30,1.35576069355011
2007-05-31,1.3728657960891724
2007-06-01,1.3717060089111328
2007-06-04,1.3756201267242432
2007-06-05,1.3775042295455933
2007-06-06,1.3460493087768557
2007-06-07,1.3011127710342407
2007-06-08,1.3360469341278076
2007-06-11,1.3306835889816284
2007-06-12,1.3127089738845823
2007-06-13,1.3386564254760742
2007-06-14,1.3622843027114868
2007-06-15,1.3879410028457642
2007-06-18,1.386491060256958
2007-06-19,1.3847514390945437
2007-06-20,1.359965205192566
2007-06-21,1.3854769468307495
2007-06-22,1.3583704233169556
2007-06-25,1.3517016172409058
2007-06-26,1.3364819288253784
2007-06-27,1.366923213005066
2007-06-28,1.3704016208648682
2007-06-29,1.378953218460083
2007-07-02,1.3964935541152954
2007-07-03,1.4125823974609375
2007-07-05,1.4286730289459229
2007-07-06,1.4459229707717896
2007-07-09,1.4472272396087646
2007-07-10,1.423599362373352
2007-07-11,1.4476622343063354
2007-07-12,1.485060214996338
2007-07-13,1.5069488286972046
2007-07-16,1.5053538084030151
2007-07-17,1.5204291343688965
2007-07-18,1.5220237970352173
2007-07-19,1.5286920070648191
2007-07-20,1.5157904624938965
2007-07-23,1.513326644897461
2007-07-24,1.4721591472625732
2007-07-25,1.474189281463623
2007-07-26,1.4415737390518188
2007-07-27,1.384171962738037
2007-07-30,1.423165202140808
2007-07-31,1.3625736236572266
2007-08-01,1.3790985345840454
2007-08-02,1.4063502550125122
2007-08-03,1.350542068481445
2007-08-06,1.377069115638733
2007-08-07,1.394028663635254
2007-08-08,1.434906244277954
2007-08-09,1.3632982969284058
2007-08-10,1.337641716003418
2007-08-13,1.3550361394882202
2007-08-14,1.3118401765823364
2007-08-15,1.2632802724838257
2007-08-16,1.234289050102234
2007-08-17,1.2782105207443235
2007-08-20,1.2864727973937988
2007-08-21,1.3227108716964722
2007-08-22,1.3535866737365725
2007-08-23,1.3480782508850098
2007-08-24,1.3879410028457642
2007-08-27,1.3606892824172974
2007-08-28,1.302417278289795
2007-08-29,1.3740252256393433
2007-08-30,1.3951880931854248
2007-08-31,1.4195407629013062
2007-09-04,1.4691156148910522
2007-09-05,1.438820481300354
2007-09-06,1.4350510835647583
2007-09-07,1.387650728225708
2007-09-10,1.3854769468307495
2007-09-11,1.420555591583252
2007-09-12,1.426789164543152
2007-09-13,1.433022141456604
2007-09-14,1.4328765869140625
