Date,TQQQ
2010-02-11,0.2063959687948227
2010-02-12,0.2072405517101287
2010-02-16,0.2152682542800903
2010-02-17,0.2189214080572128
2010-02-18,0.2230717241764068
2010-02-19,0.2230717241764068
2010-02-22,0.2215057015419006
2010-02-23,0.2128576636314392
2010-02-24,0.2192945480346679
2010-02-25,0.2191695421934127
2010-02-26,0.2219036221504211
2010-03-01,0.231422021985054
2010-03-02,0.2328134030103683
2010-03-03,0.2341064661741256
2010-03-04,0.2366907894611358
2010-03-05,0.2471529394388198
2010-03-08,0.2484709322452545
2010-03-09,0.2528693675994873
2010-03-10,0.2590571045875549
2010-03-11,0.2614428997039795
2010-03-12,0.2620393931865692
2010-03-15,0.2602748274803161
2010-03-16,0.2651962637901306
2010-03-17,0.2670352160930633
2010-03-18,0.2697435319423675
2010-03-19,0.2649719715118408
2010-03-22,0.2721293568611145
2010-03-23,0.2778209447860718
2010-03-24,0.273868978023529
2010-03-25,0.2721541821956634
2010-03-26,0.2735713422298431
2010-03-29,0.2773236930370331
2010-03-30,0.2802315056324005
2010-03-31,0.2764543294906616
2010-04-01,0.2759074866771698
2010-04-05,0.2838846147060394
2010-04-06,0.2860471308231354
2010-04-07,0.2844313979148865
2010-04-08,0.285450667142868
2010-04-09,0.2905944585800171
2010-04-12,0.2917625606060028
2010-04-13,0.2961620092391968
2010-04-14,0.3065992891788482
2010-04-15,0.3106999695301056
2010-04-16,0.2996404767036438
2010-04-19,0.2991690337657928
2010-04-20,0.3035922646522522
2010-04-21,0.3089354932308197
2010-04-22,0.3135085999965668
2010-04-23,0.3176588714122772
2010-04-26,0.315297931432724
2010-04-27,0.2958384454250335
2010-04-28,0.2965341210365295
2010-04-29,0.311669647693634
2010-04-30,0.2933037579059601
2010-05-03,0.3052824139595032
2010-05-04,0.2782932817935943
2010-05-05,0.273720234632492
2010-05-06,0.2469048202037811
2010-05-07,0.228936955332756
2010-05-10,0.2630833685398102
2010-05-11,0.2629096806049347
2010-05-12,0.2770755887031555
2010-05-13,0.2645501494407654
2010-05-14,0.248271495103836
2010-05-17,0.2516267895698547
2010-05-18,0.2420092225074768
2010-05-19,0.2356219440698623
2010-05-20,0.2117888033390045
2010-05-21,0.2134293019771576
2010-05-24,0.2151937931776046
2010-05-25,0.2136773914098739
2010-05-26,0.2070668637752533
2010-05-27,0.2294837683439254
2010-05-28,0.2262772768735885
2010-06-01,0.2200150340795517
2010-06-02,0.2354979366064071
2010-06-03,0.2416112124919891
2010-06-04,0.2177533209323883
2010-06-07,0.2051286399364471
2010-06-08,0.2039853632450103
2010-06-09,0.1994867324829101
2010-06-10,0.2160383909940719
2010-06-11,0.2216803133487701
2010-06-14,0.2218043506145477
2010-06-15,0.2380077540874481
2010-06-16,0.2428041100502014
2010-06-17,0.2452394962310791
2010-06-18,0.2459104061126709
2010-06-21,0.2394487708806991
2010-06-22,0.2337829768657684
2010-06-23,0.2306518852710724
2010-06-24,0.219468206167221
2010-06-25,0.2193193286657333
2010-06-28,0.2173553556203842
2010-06-29,0.1931004226207733
2010-06-30,0.1835572272539138
2010-07-01,0.1817678809165954
2010-07-02,0.1807734966278076
2010-07-06,0.1817183047533035
2010-07-07,0.1988902539014816
2010-07-08,0.2022456377744674
2010-07-09,0.2079124003648758
2010-07-12,0.2102733552455902
2010-07-13,0.2174555659294128
2010-07-14,0.2209340333938598
2010-07-15,0.2217051535844802
2010-07-16,0.2038613259792328
2010-07-19,0.2084592282772064
2010-07-20,0.2150449305772781
2010-07-21,0.2075144350528717
2010-07-22,0.2215057015419006
2010-07-23,0.2272716462612152
2010-07-26,0.2322665601968765
2010-07-27,0.2322169542312622
2010-07-28,0.227470189332962
2010-07-29,0.2220524847507476
2010-07-30,0.2235689163208007
2010-08-02,0.2355971336364746
2010-08-03,0.2331617325544357
2010-08-04,0.2398963570594787
2010-08-05,0.2384801357984542
2010-08-06,0.2373616397380828
2010-08-09,0.2415120154619217
2010-08-10,0.2363920956850052
2010-08-11,0.2169335484504699
2010-08-12,0.2108192294836044
2010-08-13,0.2066192775964737
2010-08-16,0.2077873647212982
2010-08-17,0.2156910449266433
2010-08-18,0.2176292240619659
2010-08-19,0.2096263319253921
2010-08-20,0.2089058458805084
2010-08-23,0.2031407803297042
2010-08-24,0.1914847940206527
2010-08-25,0.1972259730100631
2010-08-26,0.1907890886068344
2010-08-27,0.1971009224653244
2010-08-30,0.1907146573066711
2010-08-31,0.1897698193788528
2010-09-01,0.2056754678487777
2010-09-02,0.2127335965633392
2010-09-03,0.2235689163208007
2010-09-07,0.218126431107521
2010-09-08,0.2258307039737701
2010-09-09,0.228687897324562
2010-09-10,0.2311490327119827
2010-09-13,0.241338312625885
2010-09-14,0.2443949431180954
2010-09-15,0.2485453188419342
2010-09-16,0.2520495951175689
2010-09-17,0.2547331154346466
2010-09-20,0.2680038809776306
2010-09-21,0.2671593129634857
2010-09-22,0.2658919394016266
2010-09-23,0.2650960683822632
2010-09-24,0.2801074981689453
2010-09-27,0.2769009172916412
2010-09-28,0.2775966823101043
2010-09-29,0.2753606736660003
2010-09-30,0.2716321945190429
2010-10-01,0.2707875967025757
2010-10-04,0.261393278837204
2010-10-05,0.2808527648448944
2010-10-06,0.2736954092979431
2010-10-07,0.2763789594173431
2010-10-08,0.2819464206695556
2010-10-11,0.2825179994106293
2010-10-12,0.2883833050727844
2010-10-13,0.2953908741474151
2010-10-14,0.2937512993812561
2010-10-15,0.3124893605709076
2010-10-18,0.3124893605709076
2010-10-19,0.3000631332397461
2010-10-20,0.3063015937805176
2010-10-21,0.3084383010864258
2010-10-22,0.3144523799419403
2010-10-25,0.3192239105701446
2010-10-26,0.321137398481369
2010-10-27,0.3244431614875793
2010-10-28,0.3263069689273834
2010-10-29,0.32474085688591
2010-11-01,0.3254871070384979
2010-11-02,0.3353528976440429
2010-11-03,0.3401989638805389
2010-11-04,0.3522529304027557
2010-11-05,0.352674663066864
2010-11-08,0.3535698354244232
2010-11-09,0.3478534817695617
2010-11-10,0.3531720042228699
2010-11-11,0.3472322523593902
2010-11-12,0.3295630514621734
2010-11-15,0.3260339796543121
2010-11-16,0.3098554313182831
2010-11-17,0.3127871453762054
2010-11-18,0.327326089143753
2010-11-19,0.3280963003635406
2010-11-22,0.3367453217506408
2010-11-23,0.3208396434783935
2010-11-24,0.3395776748657226
2010-11-26,0.337440937757492
2010-11-29,0.332743763923645
2010-11-30,0.3200943171977997
2010-12-01,0.3404480218887329
2010-12-02,0.3507861495018005
2010-12-03,0.3537187576293945
2010-12-06,0.3530974686145782
2010-12-07,0.3534210622310638
2010-12-08,0.3583166003227234
2010-12-09,0.3586888015270233
2010-12-10,0.3662192523479461
2010-12-13,0.3619201481342315
2010-12-14,0.3634355962276459
2010-12-15,0.359732836484909
2010-12-16,0.3672385215759277
2010-12-17,0.3683569729328155
2010-12-20,0.3693504631519317
2010-12-21,0.3754390180110931
2010-12-22,0.3758369088172912
2010-12-23,0.3729786872863769
2010-12-27,0.3731285035610199
2010-12-28,0.3715129196643829
2010-12-29,0.3737251162528991
2010-12-30,0.3709164559841156
2010-12-31,0.3675114810466766
2011-01-03,0.3841128647327423
2011-01-04,0.383516401052475
2011-01-05,0.3930347561836242
2011-01-06,0.3965886235237121
2011-01-07,0.3956685960292816
2011-01-10,0.4001176655292511
2011-01-11,0.4019566476345062
2011-01-12,0.4101084470748901
2011-01-13,0.4114004969596863
2011-01-14,0.4203225076198578
2011-01-18,0.4236769378185272
2011-01-19,0.4094871580600738
2011-01-20,0.4002913534641266
2011-01-21,0.3911460936069488
2011-01-24,0.4072998762130737
2011-01-25,0.408716082572937
2011-01-26,0.4150536656379699
2011-01-27,0.4230557084083557
2011-01-28,0.3911460936069488
2011-01-31,0.3969369232654571
2011-02-01,0.4189797639846802
2011-02-02,0.4170911610126495
2011-02-03,0.4187068045139313
2011-02-04,0.4262620806694031
2011-02-07,0.4324499666690826
2011-02-08,0.4416705965995788
2011-02-09,0.4389860928058624
2011-02-10,0.4411236643791199
2011-02-11,0.4501697123050689
2011-02-14,0.4530031085014343
2011-02-15,0.4518350064754486
2011-02-16,0.4601852893829345
2011-02-17,0.4597872495651245
2011-02-18,0.4571781754493713
2011-02-22,0.4169174432754516
2011-02-23,0.4066289365291595
2011-02-24,0.4124188125133514
2011-02-25,0.4300889372825622
2011-02-28,0.4332200586795807
2011-03-01,0.4123940169811249
2011-03-02,0.4182095825672149
2011-03-03,0.4431611597537994
2011-03-04,0.4366002976894378
2011-03-07,0.4192039966583252
2011-03-08,0.423577606678009
2011-03-09,0.4150288701057434
2011-03-10,0.3960418403148651
2011-03-11,0.4026522636413574
2011-03-14,0.3987262845039367
2011-03-15,0.3824226856231689
2011-03-16,0.3543400168418884
2011-03-17,0.3635853826999664
2011-03-18,0.3615966141223907
2011-03-21,0.3817766606807709
2011-03-22,0.3807325959205627
2011-03-23,0.3864985406398773
2011-03-24,0.4075230956077575
2011-03-25,0.4105053842067718
2011-03-28,0.403547465801239
2011-03-29,0.4151281118392944
2011-03-30,0.42124143242836
2011-03-31,0.4230307936668396
2011-04-01,0.4236769378185272
2011-04-04,0.4198501408100128
2011-04-05,0.4150784909725189
2011-04-06,0.4182095825672149
2011-04-07,0.4181104004383087
2011-04-08,0.4118481576442718
2011-04-11,0.4081195890903473
2011-04-12,0.4000680148601532
