Date,QQQ
1999-03-10,43.128658294677734
1999-03-11,43.33980941772461
1999-03-12,42.28401565551758
1999-03-15,43.49818801879883
1999-03-16,43.867706298828125
1999-03-17,43.55097198486328
1999-03-18,44.39559555053711
1999-03-19,43.2606315612793
1999-03-22,42.73273849487305
1999-03-23,41.22825241088867
1999-03-24,42.62716293334961
1999-03-25,44.184425354003906
1999-03-26,43.7093391418457
1999-03-29,45.293006896972656
1999-03-30,44.97627639770508
1999-03-31,44.31641387939453
1999-04-01,45.24021530151367
1999-04-05,46.876686096191406
1999-04-06,46.96905899047851
1999-04-07,46.48076248168945
1999-04-08,46.85027694702149
1999-04-09,47.14063262939453
1999-04-12,46.82389450073242
1999-04-13,46.1904182434082
1999-04-14,44.60674285888672
1999-04-15,45.21381378173828
1999-04-16,43.89408493041992
1999-04-19,41.83531951904297
1999-04-20,42.7855224609375
1999-04-21,44.89708709716797
1999-04-22,46.111236572265625
1999-04-23,46.71831130981445
1999-04-26,47.79389190673828
1999-04-27,47.06143569946289
1999-04-28,45.45138168334961
1999-04-29,45.081844329833984
1999-04-30,45.372188568115234
1999-05-03,45.1346549987793
1999-05-04,44.42197799682617
1999-05-05,45.768104553222656
1999-05-06,44.10524368286133
1999-05-07,44.73871612548828
1999-05-10,45.18741607666016
1999-05-11,45.90008163452149
1999-05-12,46.85027694702149
1999-05-13,45.97926712036133
1999-05-14,45.10824203491211
1999-05-17,45.919864654541016
1999-05-18,45.71531677246094
1999-05-19,46.34878921508789
1999-05-20,45.07524871826172
1999-05-21,44.65953063964844
1999-05-24,43.524566650390625
1999-05-25,42.0992546081543
1999-05-26,43.273826599121094
1999-05-27,43.234222412109375
1999-05-28,43.94687271118164
1999-06-01,42.97028350830078
1999-06-02,43.69614028930664
1999-06-03,43.075870513916016
1999-06-04,44.39559555053711
1999-06-07,45.31940078735352
1999-06-08,44.184425354003906
1999-06-09,44.92350006103515
1999-06-10,44.40877914428711
1999-06-11,43.735713958740234
1999-06-14,42.910919189453125
1999-06-15,43.55097198486328
1999-06-16,45.78789138793945
1999-06-17,46.29598236083984
1999-06-18,46.50713348388672
1999-06-21,47.89946746826172
1999-06-22,46.45435333251953
1999-06-23,47.18680953979492
1999-06-24,46.249794006347656
1999-06-25,46.1904182434082
1999-06-28,47.285797119140625
1999-06-29,47.93244171142578
1999-06-30,48.67149353027344
1999-07-01,49.00143051147461
1999-07-02,49.62171173095703
1999-07-06,49.30497360229492
1999-07-07,49.384159088134766
1999-07-08,50.04401397705078
1999-07-09,50.545509338378906
1999-07-12,50.28158187866211
1999-07-13,50.04401397705078
1999-07-14,50.89524459838867
1999-07-15,51.363746643066406
1999-07-16,51.83885192871094
1999-07-19,51.31095123291016
1999-07-20,49.33136749267578
1999-07-21,49.56893539428711
1999-07-22,48.30857467651367
1999-07-23,48.38116455078125
1999-07-26,47.19340133666992
1999-07-27,48.14359664916992
1999-07-28,49.08720779418945
1999-07-29,48.038028717041016
1999-07-30,47.80050277709961
1999-08-02,47.668514251708984
1999-08-03,47.358375549316406
1999-08-04,46.50056457519531
1999-08-05,47.23959732055664
1999-08-06,46.73151397705078
1999-08-09,46.13103485107422
1999-08-10,45.71531677246094
1999-08-11,47.21979904174805
1999-08-12,46.665504455566406
1999-08-13,48.69790267944336
1999-08-16,49.08720779418945
1999-08-17,49.33136749267578
1999-08-18,48.77708435058594
1999-08-19,48.19639205932617
1999-08-20,48.96182632446289
1999-08-23,50.51910400390625
1999-08-24,50.86223983764648
1999-08-25,51.94442367553711
1999-08-26,51.08001708984375
1999-08-27,50.57190704345703
1999-08-30,49.85926818847656
1999-08-31,50.41353988647461
1999-09-01,50.77646255493164
1999-09-02,50.59829330444336
1999-09-03,52.92102813720703
1999-09-07,52.683475494384766
1999-09-08,51.970821380615234
1999-09-09,52.709861755371094
1999-09-10,53.31694030761719
1999-09-13,52.676876068115234
1999-09-14,52.96721649169922
1999-09-15,51.94442367553711
1999-09-16,51.91804122924805
1999-09-17,53.47530746459961
1999-09-20,53.60068130493164
1999-09-21,52.313941955566406
1999-09-22,52.86823272705078
1999-09-23,50.67748260498047
1999-09-24,50.74346160888672
1999-09-27,51.09979248046875
1999-09-28,51.33733749389648
1999-09-29,50.30796813964844
1999-09-30,50.83586502075195
1999-10-01,50.855655670166016
1999-10-04,51.997215270996094
1999-10-05,52.36674118041992
1999-10-06,53.41593170166016
1999-10-07,53.29054260253906
1999-10-08,53.851417541503906
1999-10-11,54.61026763916016
1999-10-12,53.3697509765625
1999-10-13,51.78607177734375
1999-10-14,52.10939407348633
1999-10-15,50.57190704345703
1999-10-18,49.93185043334961
1999-10-19,50.2023811340332
1999-10-20,51.733280181884766
1999-10-21,52.577880859375
1999-10-22,52.34034729003906
1999-10-25,52.36674118041992
1999-10-26,51.94442367553711
1999-10-27,51.86522674560547
1999-10-28,53.660037994384766
1999-10-29,55.534080505371094
1999-11-01,55.24372100830078
1999-11-02,55.276710510253906
1999-11-03,56.37869644165039
1999-11-04,57.012184143066406
1999-11-05,57.59285736083984
1999-11-08,58.75420379638672
1999-11-09,58.3582878112793
1999-11-10,59.12372589111328
1999-11-11,60.17951583862305
1999-11-12,60.97134780883789
1999-11-15,60.852577209472656
1999-11-16,62.39664840698242
1999-11-17,61.55202865600586
1999-11-18,63.43922424316406
1999-11-19,64.00672149658203
1999-11-22,63.03012466430664
1999-11-23,63.32047271728515
1999-11-24,65.4056167602539
1999-11-26,65.6167984008789
1999-11-29,64.53460693359375
1999-11-30,62.07992935180664
1999-12-01,63.42605209350586
1999-12-02,65.4385986328125
1999-12-03,66.83097076416016
1999-12-06,67.43799591064453
1999-12-07,67.43799591064453
1999-12-08,66.6197738647461
1999-12-09,66.93649291992188
1999-12-10,67.49081420898438
1999-12-13,68.40801239013672
1999-12-14,67.17403411865234
1999-12-15,68.46737670898438
1999-12-16,70.15663146972656
1999-12-17,70.76371002197266
1999-12-20,71.68753051757812
1999-12-21,75.54114532470703
1999-12-22,75.30359649658203
1999-12-23,76.20099639892578
1999-12-27,75.7522964477539
1999-12-28,75.27717590332031
1999-12-29,78.12777709960938
1999-12-30,77.28317260742188
1999-12-31,77.17757415771484
2000-01-03,80.0281753540039
2000-01-04,74.53813934326172
2000-01-05,72.63773345947266
2000-01-06,67.64915466308594
2000-01-07,76.0162353515625
2000-01-10,78.12777709960938
2000-01-11,74.32698822021484
2000-01-12,72.6905517578125
2000-01-13,77.072021484375
2000-01-14,78.86685180664062
2000-01-18,79.2891616821289
2000-01-19,81.08396911621094
2000-01-20,80.29215240478516
2000-01-21,81.29515075683594
2000-01-24,77.38875579833984
2000-01-25,78.55010986328125
2000-01-26,75.38275909423828
2000-01-27,76.49136352539062
2000-01-28,72.63773345947266
2000-01-31,75.7522964477539
2000-02-01,77.78466796875
2000-02-02,78.44454956054688
2000-02-03,81.50627136230469
2000-02-04,82.06058502197266
2000-02-07,83.1955337524414
2000-02-08,86.67961883544922
2000-02-09,83.61786651611328
2000-02-10,86.3628921508789
2000-02-11,84.35689544677734
2000-02-14,84.2513198852539
2000-02-15,84.8583984375
2000-02-16,84.46247100830078
2000-02-17,86.25731658935547
2000-02-18,83.14274597167969
2000-02-22,83.40670776367188
2000-02-23,88.05216979980469
2000-02-24,89.95255279541016
2000-02-25,87.89374542236328
2000-02-28,87.84101867675781
2000-02-29,90.16368865966795
2000-03-01,90.90276336669922
2000-03-02,88.79777526855469
2000-03-03,93.80615234375
2000-03-06,94.54515838623048
2000-03-07,93.11985778808594
2000-03-08,93.96449279785156
2000-03-09,97.13185119628906
2000-03-10,96.70956420898438
2000-03-13,94.17568969726562
2000-03-14,90.69158172607422
2000-03-15,86.89078521728516
2000-03-16,91.85293579101562
2000-03-17,93.59496307373048
2000-03-20,90.95551300048828
2000-03-21,94.38680267333984
2000-03-22,96.28719329833984
2000-03-23,97.97645568847656
2000-03-24,99.29623413085938
2000-03-27,99.45455169677734
2000-03-28,96.92068481445312
2000-03-29,92.90870666503906
2000-03-30,90.58601379394533
2000-03-31,92.4864273071289
2000-04-03,86.9435806274414
